                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.76047,                0.43017,                0.95899,                0.95976,                0.96889,                0.98106,                0.86923,                0.51927,                0.31004,                0.86666,               0.004654,               0.004654,               0.004654
                     56,                0.74884,                0.41714,                0.95222,                 0.9603,                0.95911,                 0.9827,                0.87496,                0.50931,                0.31756,                0.85992,               0.004555,               0.004555,               0.004555
                     57,                0.74984,                 0.4211,                0.95421,                0.95563,                0.96299,                0.98162,                0.87248,                 0.5243,                 0.3129,                0.86671,               0.004456,               0.004456,               0.004456
                     58,                0.73939,                0.41433,                0.94763,                0.97498,                0.95999,                0.98351,                0.86917,                0.52758,                0.31577,                0.86797,               0.004357,               0.004357,               0.004357
                     59,                0.73285,                0.41067,                0.95245,                0.95715,                 0.9657,                0.98151,                 0.8744,                0.51589,                0.31106,                0.86632,               0.004258,               0.004258,               0.004258
                     60,                0.73621,                0.41509,                0.94985,                0.96266,                0.96042,                 0.9827,                 0.8716,                0.51148,                0.31228,                0.86662,               0.004159,               0.004159,               0.004159
                     61,                0.73579,                0.41441,                0.95177,                0.94987,                0.97119,                0.98133,                0.87406,                0.51724,                0.30591,                0.87068,                0.00406,                0.00406,                0.00406
                     62,                0.72762,                0.40712,                0.94604,                0.96082,                0.96355,                0.97968,                0.87248,                0.52182,                0.31308,                0.87124,               0.003961,               0.003961,               0.003961
                     63,                0.72821,                0.40935,                0.94654,                0.95343,                 0.9702,                0.97897,                0.87095,                0.51788,                0.31233,                0.86822,               0.003862,               0.003862,               0.003862
                     64,                0.72172,                0.39771,                0.94417,                0.95888,                 0.9702,                0.98243,                0.87611,                0.51831,                0.30083,                0.86818,               0.003763,               0.003763,               0.003763
                     65,                0.71718,                0.39859,                0.94446,                0.96119,                0.96378,                0.98234,                0.87358,                0.52106,                0.30792,                0.86993,               0.003664,               0.003664,               0.003664
                     66,                0.71693,                0.39732,                0.94105,                0.96653,                 0.9681,                0.98385,                0.87823,                0.51635,                 0.3065,                0.86925,               0.003565,               0.003565,               0.003565
                     67,                0.71145,                0.39178,                0.94298,                0.96795,                0.96347,                0.98397,                0.87866,                0.51653,                0.31173,                0.86888,               0.003466,               0.003466,               0.003466
                     68,                0.70657,                0.39497,                0.93928,                0.96482,                0.96603,                0.98344,                0.87676,                0.51731,                0.31044,                0.86986,               0.003367,               0.003367,               0.003367
                     69,                0.70551,                0.39084,                0.94036,                0.95534,                0.96801,                0.98369,                0.87812,                0.51744,                0.29906,                0.86596,               0.003268,               0.003268,               0.003268
                     70,                0.70335,                0.38321,                0.93618,                0.96292,                 0.9583,                0.98145,                0.87753,                0.51507,                0.30362,                0.86355,               0.003169,               0.003169,               0.003169
                     71,                0.70275,                0.38311,                0.93841,                 0.9626,                0.96393,                0.98298,                0.87754,                0.51638,                0.30812,                0.86694,                0.00307,                0.00307,                0.00307
                     72,                0.70035,                0.38675,                0.93804,                0.95892,                0.96447,                 0.9837,                 0.8795,                0.50901,                0.30635,                0.86128,               0.002971,               0.002971,               0.002971
                     73,                0.68741,                0.37501,                0.93246,                0.96373,                0.95841,                0.98412,                0.87684,                0.51187,                0.29916,                0.86429,               0.002872,               0.002872,               0.002872
                     74,                0.68608,                0.37771,                0.93204,                0.96626,                0.96702,                0.98384,                0.87496,                 0.5146,                0.30782,                0.86782,               0.002773,               0.002773,               0.002773
                     75,                 0.6882,                 0.3748,                0.93034,                0.95752,                0.96651,                 0.9816,                0.87641,                0.51123,                0.30496,                 0.8658,               0.002674,               0.002674,               0.002674
                     76,                0.68271,                0.36935,                0.93036,                0.96808,                0.96347,                0.98311,                0.87911,                0.51375,                0.30923,                0.86429,               0.002575,               0.002575,               0.002575
                     77,                0.67921,                0.36858,                0.93104,                0.96095,                0.96702,                0.98425,                0.87948,                0.51465,                0.30579,                0.86532,               0.002476,               0.002476,               0.002476
                     78,                0.66649,                0.37177,                0.92347,                0.96146,                0.96702,                0.98011,                0.87523,                0.51077,                 0.3091,                0.86448,               0.002377,               0.002377,               0.002377
                     79,                0.66852,                0.36566,                0.92808,                0.96625,                0.96855,                0.98086,                0.87579,                0.50808,                0.30715,                0.86326,               0.002278,               0.002278,               0.002278
                     80,                 0.6698,                0.36437,                0.92865,                  0.971,                0.96514,                0.98214,                 0.8767,                0.50561,                0.30005,                0.86359,               0.002179,               0.002179,               0.002179
                     81,                0.66043,                0.35904,                0.91936,                0.97271,                0.96279,                0.98291,                0.87962,                0.50658,                0.30242,                 0.8668,                0.00208,                0.00208,                0.00208
                     82,                0.66044,                0.35703,                0.92543,                0.96898,                0.96641,                0.98344,                0.87916,                0.50501,                0.30158,                0.86726,               0.001981,               0.001981,               0.001981
                     83,                0.65821,                0.35641,                0.92104,                0.96519,                 0.9649,                0.98332,                0.87996,                0.50462,                0.29674,                0.86683,               0.001882,               0.001882,               0.001882
                     84,                0.65719,                0.35354,                0.92042,                0.96708,                0.96385,                0.98345,                0.87958,                0.50707,                0.29946,                0.86597,               0.001783,               0.001783,               0.001783
                     85,                0.64895,                0.35194,                0.91869,                0.96617,                0.96279,                0.98159,                0.88078,                0.50629,                0.29495,                 0.8664,               0.001684,               0.001684,               0.001684
                     86,                0.64898,                0.34892,                0.91561,                0.96687,                0.96504,                0.98301,                0.87932,                0.50568,                0.29442,                0.86486,               0.001585,               0.001585,               0.001585
                     87,                0.64696,                0.34125,                0.91514,                 0.9655,                0.96596,                 0.9838,                 0.8796,                0.50549,                0.29632,                0.86556,               0.001486,               0.001486,               0.001486
                     88,                0.64379,                0.34595,                0.91745,                0.96929,                0.96758,                 0.9844,                0.87999,                0.50528,                0.29792,                0.86497,               0.001387,               0.001387,               0.001387
                     89,                0.63603,                0.34189,                0.91485,                0.95926,                0.96835,                0.98032,                0.87539,                0.50572,                0.30329,                0.86517,               0.001288,               0.001288,               0.001288
                     90,                0.63156,                0.33482,                0.91781,                0.96598,                0.96006,                0.97929,                0.87756,                0.50489,                0.30569,                0.86432,               0.001189,               0.001189,               0.001189
                     91,                0.62434,                0.29246,                0.91902,                0.96896,                0.95878,                0.97847,                0.87543,                0.50962,                 0.3055,                0.86658,                0.00109,                0.00109,                0.00109
                     92,                0.61845,                0.28682,                0.91096,                0.96777,                0.95882,                0.97818,                0.87532,                0.51113,                0.30665,                0.86882,               0.000991,               0.000991,               0.000991
                     93,                0.61331,                0.28146,                  0.911,                0.95662,                 0.9649,                0.97833,                0.87354,                0.51071,                0.30679,                 0.8693,               0.000892,               0.000892,               0.000892
                     94,                 0.6064,                0.27706,                0.90876,                0.95699,                0.96478,                0.97858,                0.87507,                0.51235,                0.30647,                0.86933,               0.000793,               0.000793,               0.000793
                     95,                0.60405,                 0.2759,                0.91325,                 0.9607,                0.95926,                0.97848,                0.87453,                0.51309,                0.30778,                0.86959,               0.000694,               0.000694,               0.000694
                     96,                 0.6005,                0.27445,                0.91342,                0.96052,                 0.9606,                0.97856,                0.87497,                0.51173,                0.30673,                0.86864,               0.000595,               0.000595,               0.000595
                     97,                0.59327,                 0.2688,                0.90298,                0.96241,                 0.9606,                 0.9795,                0.87582,                0.51128,                0.30613,                 0.8684,               0.000496,               0.000496,               0.000496
                     98,                0.59589,                0.26953,                0.90859,                 0.9621,                0.96385,                0.98047,                0.87768,                0.51077,                 0.3072,                0.86783,               0.000397,               0.000397,               0.000397
                     99,                0.58943,                0.26776,                0.90781,                0.96142,                0.96385,                0.98067,                0.87701,                0.50865,                0.30677,                0.86714,               0.000298,               0.000298,               0.000298
                    100,                0.57752,                0.26258,                  0.904,                0.96251,                0.96318,                0.98073,                0.87922,                0.50898,                0.30758,                0.86727,               0.000199,               0.000199,               0.000199
